year,country,ann_savings_bil,ann_savings_bil_lb,ann_savings_bil_ub,cum_savings_bil,cum_savings_bil_lb,cum_savings_bil_ub
2008,U.S.,0.003947970056718819,0.003285544555290169,0.004639571984054922,0.003947970056718819,0.003285544555290169,0.004639571984054922
2009,U.S.,0.014811318054099217,0.011531746974605617,0.01830166216881644,0.018759288110818034,0.014817291529895787,0.022941234152871363
2010,U.S.,0.07199627522196386,0.05416523450524831,0.09168203905727548,0.0907555633327819,0.0689825260351441,0.11462327321014684
2011,U.S.,0.2529232698277083,0.20188814431147648,0.3053041293155717,0.3436788331604902,0.27087067034662055,0.4199274025257186
2012,U.S.,0.5351492543412437,0.39538277333752303,0.6910270840311401,0.8788280875017339,0.6662534436841436,1.1109544865568586
2013,U.S.,0.8410782068179052,0.6000004612939801,1.1195058435028784,1.7199062943196393,1.2662539049781236,2.230460330059737
2014,U.S.,1.2686095575177745,0.9499035464607933,1.620502459955492,2.9885158518374135,2.216157451438917,3.8509627900152292
2015,U.S.,1.4940767413170555,1.1207867371000977,1.90264400032459,4.482592593154469,3.3369441885390145,5.753606790339819
2016,U.S.,4.008480231273725,2.9788369711527833,5.150376534561016,8.491072824428194,6.315781159691798,10.903983324900835
2017,U.S.,2.690820771431334,2.0222019375194993,3.422323058916508,11.181893595859528,8.337983097211298,14.326306383817343
2018,U.S.,2.7537738036753248,2.1155230343619698,3.434589642821689,13.935667399534854,10.453506131573267,17.76089602663903
2019,U.S.,3.887107460466767,3.01542537676797,4.807033845891293,17.82277486000162,13.468931508341237,22.567929872530325
2020,U.S.,6.470707860271893,5.084558485885814,7.913163971450904,24.293482720273513,18.55348999422705,30.481093843981228
2008,China,0.004074620328205074,0.0031556947844651973,0.005044093318699185,0.004074620328205074,0.0031556947844651973,0.005044093318699185
2009,China,0.02555574434965742,0.018090528463632724,0.03358091409698853,0.029630364677862495,0.021246223248097922,0.038625007415687716
2010,China,0.10254924622998726,0.0694302118027668,0.1393565702185182,0.13217961090784974,0.09067643505086473,0.1779815776342059
2011,China,0.6745103427818497,0.5034047357849963,0.8449881974566146,0.8066899536896995,0.5940811708358611,1.0229697750908204
2012,China,0.7801718953123313,0.5213452487768521,1.0705872513984316,1.5868618490020308,1.115426419612713,2.0935570264892522
2013,China,2.0576770481366724,1.3193288172318494,2.9324351472384462,3.644538897138703,2.4347552368445626,5.0259921737276985
2014,China,2.13170802573515,1.47446584031094,2.8497709690245503,5.776246922873853,3.9092210771555025,7.875763142752248
2015,China,2.9017279028624645,2.0330252344187394,3.8400125325880894,8.677974825736317,5.942246311574242,11.715775675340337
2016,China,5.428731936025567,3.8016339456877066,7.198891851294933,14.106706761761885,9.74388025726195,18.91466752663527
2017,China,6.995673904533205,5.076548611830065,9.01527634506717,21.10238066629509,14.820428869092014,27.92994387170244
2018,China,5.839160142954685,4.433534269593086,7.243422652941896,26.941540809249776,19.2539631386851,35.17336652464434
2019,China,3.3961220477200382,2.6292760716248322,4.150103104385773,30.337662856969814,21.88323921030993,39.32346962903011
2020,China,5.4389854509113675,4.305801422735455,6.520699397096821,35.77664830788118,26.189040633045387,45.84416902612693
2008,Germany,0.0823579789634433,0.06517137627388206,0.09930332975398565,0.0823579789634433,0.06517137627388206,0.09930332975398565
2009,Germany,0.18965779686019477,0.14016633756969943,0.24053371894025646,0.27201577582363806,0.2053377138435815,0.33983704869424214
2010,Germany,0.3953167140089965,0.28380273516661536,0.5150549305453946,0.6673324898326345,0.4891404490101968,0.8548919792396368
2011,Germany,0.7103678712400227,0.5392304682921166,0.8808871726741861,1.3777003610726573,1.0283709173023134,1.7357791519138228
2012,Germany,0.6942985861063765,0.4908486973393351,0.9218806878801599,2.0719989471790337,1.5192196146416486,2.6576598397939826
2013,Germany,0.24736409674447352,0.16902935120659404,0.33820667691079914,2.319363043923507,1.6882489658482427,2.995866516704782
2014,Germany,0.14256109225254757,0.10165918302135814,0.1878744929351489,2.4619241361760547,1.7899081488696007,3.183741009639931
2015,Germany,0.22494125325897082,0.16055476906990074,0.296174829630872,2.6868653894350256,1.9504629179395014,3.4799158392708027
2016,Germany,0.3011553802703933,0.21252178179479625,0.40114205258850333,2.988020769705419,2.162984699734298,3.881057891859306
2017,Germany,0.3855939797504872,0.274528184131281,0.5094697312263866,3.373614749455906,2.437512883865579,4.390527623085693
2018,Germany,0.7355043616461417,0.5334837318368926,0.955605890507485,4.109119111102048,2.970996615702471,5.346133513593178
2019,Germany,1.1150876550222666,0.8161067569200184,1.4390187759300324,5.224206766124315,3.78710337262249,6.78515228952321
2020,Germany,1.3995988972739504,1.0333932890408395,1.792142219648297,6.623805663398265,4.820496661663329,8.577294509171507
