year,country,ann_savings_bil,ann_savings_bil_lb,ann_savings_bil_ub,cum_savings_bil,cum_savings_bil_lb,cum_savings_bil_ub
2008-01-01,U.S.,0.0039449534577344035,0.003260770284364344,0.004624109317286247,0.0039449534577344035,0.003260770284364344,0.004624109317286247
2009-01-01,U.S.,0.014802866213249203,0.011446839983817762,0.01820464158180417,0.018747819670983608,0.014707610268182106,0.02282875089909042
2010-01-01,U.S.,0.07196554003183249,0.05380463300039168,0.09131080184091409,0.09071335970281609,0.06851224326857379,0.11413955274000451
2011-01-01,U.S.,0.25282030987193693,0.2008402393716222,0.30401887067926026,0.343533669574753,0.269352482640196,0.41815842341926474
2012-01-01,U.S.,0.535017410048277,0.3941600782030461,0.6901309387214516,0.87855107962303,0.6635125608432421,1.1082893621407164
2013-01-01,U.S.,0.8409456731684363,0.5991424271339207,1.118013957812688,1.7194967527914662,1.262654987977163,2.2263033199534044
2014-01-01,U.S.,1.2683689414894792,0.9469496895762743,1.6202420285547066,2.9878656942809454,2.209604677553437,3.8465453485081107
2015-01-01,U.S.,1.4938291550171132,1.118378587240631,1.903926875531651,4.481694849298059,3.327983264794068,5.750472224039762
2016-01-01,U.S.,4.007992042155773,2.975370364264342,5.154797736528705,8.489686891453832,6.30335362905841,10.905269960568466
2017-01-01,U.S.,2.6905234968742615,2.0211324809638946,3.4253638116130745,11.180210388328094,8.324486110022304,14.33063377218154
2018-01-01,U.S.,2.7534553979802836,2.1174605330289937,3.438254927473852,13.933665786308376,10.441946643051299,17.768888699655392
2019-01-01,U.S.,3.8866873763504124,3.0229439109133494,4.810640582655721,17.82035316265879,13.464890553964649,22.579529282311114
2020-01-01,U.S.,6.470070884445276,5.097104180310215,7.920240122574775,24.290424047104064,18.56199473427486,30.49976940488589
2008-01-01,China,0.0040740375074471815,0.0031531771803831117,0.005036140923753995,0.0040740375074471815,0.0031531771803831117,0.005036140923753995
2009-01-01,China,0.025556306537368987,0.0180781094153908,0.03366474806855279,0.029630344044816168,0.02123128659577391,0.03870088899230678
2010-01-01,China,0.10256011170486388,0.06931270261115521,0.13973630172346166,0.13219045574968005,0.09054398920692913,0.17843719071576844
2011-01-01,China,0.6745251451309503,0.5031751862058441,0.8461082472219587,0.8067156008806303,0.5937191754127732,1.024545437937727
2012-01-01,China,0.7803034572413607,0.5200610030303026,1.075780383726034,1.5870190581219912,1.1137801784430759,2.1003258216637612
2013-01-01,China,2.0581404458215506,1.3088520789913856,2.93719014023223,3.6451595039435416,2.4226322574344614,5.037515961895991
2014-01-01,China,2.1320386875892354,1.465006902207924,2.859866076504392,5.7771981915327775,3.887639159642385,7.897382038400383
2015-01-01,China,2.902160661696729,2.0187114552639525,3.8515418780302277,8.679358853229505,5.906350614906338,11.748923916430611
2016-01-01,China,5.429587722019334,3.789780417612213,7.201183785812109,14.10894657524884,9.69613103251855,18.95010770224272
2017-01-01,China,6.9965365629609835,5.0591530269550695,9.002950745734458,21.105483138209824,14.75528405947362,27.953058447977178
2018-01-01,China,5.839587973664223,4.420358068513709,7.236839780498363,26.945071111874046,19.17564212798733,35.18989822847554
2019-01-01,China,3.396297770371682,2.619953643254389,4.1457440145643405,30.341368882245728,21.795595771241718,39.33564224303988
2020-01-01,China,5.439120377990443,4.2931334757979585,6.524220445884372,35.78048926023617,26.088729247039677,45.85986268892425
2008-01-01,Germany,0.08212975036675343,0.0643593516271975,0.09886856864907384,0.08212975036675343,0.0643593516271975,0.09886856864907384
2009-01-01,Germany,0.18910401870436436,0.13840425608296814,0.24017133572956328,0.2712337690711178,0.20276360771016563,0.3390399043786371
2010-01-01,Germany,0.39417156090452676,0.27999454589612927,0.5140472454024699,0.6654053299756446,0.4827581536062949,0.853087149781107
2011-01-01,Germany,0.7085793568189345,0.5338244585814543,0.8796370731823983,1.373984686794579,1.0165826121877493,1.7327242229635054
2012-01-01,Germany,0.6924199042420661,0.48393982540818703,0.9174400152552592,2.0664045910366453,1.5005224375959363,2.6501642382187645
2013-01-01,Germany,0.24667972018014594,0.1669333128015061,0.33679167439219543,2.313084311216791,1.6674557503974423,2.98695591261096
2014-01-01,Germany,0.14219616866576698,0.10036577648312302,0.18698572061326402,2.4552804798825583,1.7678215268805655,3.173941633224224
2015-01-01,Germany,0.22437582586704888,0.15871258695289636,0.29516830741294753,2.679656305749607,1.9265341138334617,3.4691099406371713
2016-01-01,Germany,0.30039672078582413,0.21004730855584208,0.39945194778398696,2.980053026535431,2.136581422389304,3.8685618884211586
2017-01-01,Germany,0.3846507180471313,0.2715094327187538,0.5081101306379822,3.3647037445825623,2.4080908551080578,4.376672019059141
2018-01-01,Germany,0.73378334799768,0.5280348002131775,0.9534289095792853,4.098487092580243,2.936125655321235,5.3301009286384256
2019-01-01,Germany,1.1125461862979624,0.8072443495942544,1.4347562984632334,5.2110332788782046,3.7433700049154894,6.764857227101659
2020-01-01,Germany,1.396500656750784,1.0225800569384125,1.7879032044564636,6.607533935628989,4.765950061853902,8.552760431558124
