year,country,ann_savings_bil,ann_savings_bil_lb,ann_savings_bil_ub,cum_savings_bil,cum_savings_bil_lb,cum_savings_bil_ub,scenario
2020-01-01,U.S.,0,0,0,0,0,0,National Trends
2021-01-01,U.S.,0.018033654617972603,0.01552742048412027,0.020373624535994492,0.018033654617972603,0.01552742048412027,0.020373624535994492,National Trends
2022-01-01,U.S.,0.056522845810470186,0.049095375254340524,0.06338866195723716,0.07455650042844279,0.06462279573846079,0.08376228649323166,National Trends
2023-01-01,U.S.,0.11883734678351757,0.10409901972461769,0.13235543502903332,0.19339384721196035,0.1687218154630785,0.216117721522265,National Trends
2024-01-01,U.S.,0.20945307756635265,0.18484578505220178,0.23186240190720764,0.402846924778313,0.35356760051528024,0.44798012342947263,National Trends
2025-01-01,U.S.,0.33420544349585046,0.29711040215771173,0.3678599915724937,0.7370523682741634,0.650678002672992,0.8158401150019663,National Trends
2026-01-01,U.S.,0.5006659901391942,0.4481935704159116,0.5484034461042897,1.2377183584133578,1.0988715730889036,1.364243561106256,National Trends
2027-01-01,U.S.,0.7186933849687444,0.647500584495106,0.7837709308828203,1.956411743382102,1.7463721575840097,2.1480144919890765,National Trends
2028-01-01,U.S.,1.0012455763484032,0.9070908261986295,1.0871912072088947,2.9576573197305054,2.653462983782639,3.235205699197971,National Trends
2029-01-01,U.S.,1.3656018226399023,1.2437900316805894,1.4775655731431434,4.323259142370407,3.8972530154632286,4.712771272341114,National Trends
2030-01-01,U.S.,1.8352570240476436,1.6777982045561868,1.979541563836446,6.158516166418051,5.575051220019415,6.69231283617756,National Trends
2020-01-01,China,0,0,0,0,0,0,National Trends
2021-01-01,China,0.025748414913266977,0.021818225092315895,0.029243027312755826,0.025748414913266977,0.021818225092315895,0.029243027312755826,National Trends
2022-01-01,China,0.07922712659370888,0.06801341420699093,0.08922179825958575,0.10497554150697586,0.08983163929930682,0.11846482557234157,National Trends
2023-01-01,China,0.16333892687171103,0.14182640607487715,0.18268744079381313,0.2683144683786869,0.23165804537418397,0.3011522663661547,National Trends
2024-01-01,China,0.2819619123120981,0.2478145202297104,0.31292940320054724,0.550276380690785,0.4794725656038944,0.614081669566702,National Trends
2025-01-01,China,0.44006754623858474,0.39064339648381474,0.48542872818363864,0.9903439269293698,0.8701159620877091,1.0995103977503407,National Trends
2026-01-01,China,0.6439063869426859,0.5765228199554197,0.7077990693931266,1.6342503138720557,1.4466387820431288,1.8073094671434673,National Trends
2027-01-01,China,0.9012743311912498,0.8140902614451341,0.9870947254996211,2.5355246450633055,2.2607290434882628,2.7944041926430883,National Trends
2028-01-01,China,1.2218824332974074,1.1117221752829751,1.3334313028336144,3.7574070783607127,3.372451218771238,4.1278354954767025,National Trends
2029-01-01,China,1.6178671973464285,1.4777509480105009,1.7634366198642573,5.375274275707142,4.850202166781739,5.89127211534096,National Trends
2030-01-01,China,2.104498872530595,1.927533097292448,2.292525424755477,7.4797731482377365,6.777735264074187,8.183797540096437,National Trends
2020-01-01,Germany,0,0,0,0,0,0,National Trends
2021-01-01,Germany,0.004002087594030591,0.0032232811348669155,0.004714353117976253,0.004002087594030591,0.0032232811348669155,0.004714353117976253,National Trends
2022-01-01,Germany,0.012106309942495144,0.009829169987711895,0.014163869954979988,0.016108397536525734,0.013052451122578811,0.01887822307295624,National Trends
2023-01-01,Germany,0.024571226134924497,0.02010729583717169,0.02855568729406477,0.040679623671450234,0.0331597469597505,0.04743391036702101,National Trends
2024-01-01,Germany,0.041819477862599264,0.034473915529304074,0.04828547330242156,0.08249910153404949,0.06763366248905457,0.09571938366944258,National Trends
2025-01-01,Germany,0.06446070583418184,0.05351251899234567,0.07397434638106562,0.14695980736823133,0.12114618148140024,0.1696937300505082,National Trends
2026-01-01,Germany,0.09333477998811686,0.07800269427993518,0.10651571068653734,0.2402945873563482,0.19914887576133544,0.2762094407370455,National Trends
2027-01-01,Germany,0.12958294521092273,0.10896364816834091,0.14709550456327072,0.3698775325672709,0.30811252392967636,0.42330494530031626,National Trends
2028-01-01,Germany,0.17476167609081925,0.14768200431073267,0.1974881309019954,0.5446392086580901,0.455794528240409,0.6207930762023116,National Trends
2029-01-01,Germany,0.23102708053067625,0.19626301539975655,0.25998508513416885,0.7756662891887665,0.6520575436401655,0.8807781613364805,National Trends
2030-01-01,Germany,0.30144377615929613,0.2572564536803447,0.3380116398473233,1.0771100653480625,0.9093139973205103,1.2187898011838039,National Trends
2020-01-01,U.S.,0,0,0,0,0,0,Sustainable Development
2021-01-01,U.S.,0.03916840222267875,0.03382924824404593,0.04411592676214152,0.03916840222267875,0.03382924824404593,0.04411592676214152,Sustainable Development
2022-01-01,U.S.,0.12825574616701568,0.11216149291224141,0.14310770900562308,0.16742414838969444,0.14599074115628735,0.1872236357677646,Sustainable Development
2023-01-01,U.S.,0.28200637940721746,0.24922913996933388,0.31173633430123476,0.4494305277969119,0.39521988112562123,0.4989599700689994,Sustainable Development
2024-01-01,U.S.,0.5201672500179734,0.46459650082129816,0.5704907681043911,0.9695977778148852,0.8598163819469193,1.0694507381733904,Sustainable Development
2025-01-01,U.S.,0.8689217497890621,0.7840624086091049,0.946247389812874,1.8385195276039474,1.6438787905560244,2.0156981279862647,Sustainable Development
2026-01-01,U.S.,1.3628808342884349,1.2409998166413116,1.4754714550260877,3.2014003618923823,2.884878607197336,3.4911695830123524,Sustainable Development
2027-01-01,U.S.,2.047842940902752,1.877951202463042,2.203939768041987,5.249243302795134,4.762829809660378,5.695109351054339,Sustainable Development
2028-01-01,U.S.,2.9846505451287335,2.7542321301122654,3.199611426603417,8.233893847923868,7.517061939772644,8.894720777657756,Sustainable Development
2029-01-01,U.S.,4.254655164226169,3.945759515891066,4.546097689276556,12.488549012150036,11.46282145566371,13.440818466934312,Sustainable Development
2030-01-01,U.S.,5.967608044680203,5.558732234621184,6.3650655728111145,18.45615705683024,17.021553690284893,19.805884039745425,Sustainable Development
2020-01-01,China,0,0,0,0,0,0,Sustainable Development
2021-01-01,China,0.046371784063802886,0.03946902075419215,0.05245306138651155,0.046371784063802886,0.03946902075419215,0.05245306138651155,Sustainable Development
2022-01-01,China,0.1438489246415365,0.12456884108035542,0.1611883117894381,0.1902207087053394,0.16403786183454755,0.21364137317594964,Sustainable Development
2023-01-01,China,0.2995066766604469,0.26363992204510134,0.33206187882992283,0.4897273853657863,0.4276777838796489,0.5457032520058724,Sustainable Development
2024-01-01,China,0.5229560854188167,0.4664971231957177,0.5756077642846997,1.0126834707846029,0.8941749070753666,1.1213110162905722,Sustainable Development
