year,cumCapKw,cost_per_kw,cost_per_kw_lb,cost_per_kw_ub,cost_per_kw_hist,learning,country
2017-01-01,389411000,356.07527846527796,325.8900296120349,389.07998956862446,449.4695629089042,Global,China
2018-01-01,488739000,326.1486199781856,293.03197643162093,362.16850664575776,306.34869474118113,Global,China
2019-01-01,587134000,281.3813414749905,248.19979725522154,317.752337515192,256.4493324863248,Global,China
2020-01-01,713970000,252.15558589220794,217.85605796519482,291.3205024393358,230.20327988376587,Global,China
2007-01-01,8642000,5126.899541562037,4424.427455427782,5929.979670739609,4791.630690539997,National,China
2008-01-01,13990200,4432.536240383897,3734.085586402256,5251.091801945355,4371.216391512918,National,China
2009-01-01,20303800,2911.2091429396505,2609.406302121644,3247.219531492677,2815.856578354286,National,China
2010-01-01,31906500,1951.5796514135477,1719.7036615640704,2211.650081053925,1944.0384751031488,National,China
2011-01-01,53957700,1546.4846003529728,1432.1639016816657,1671.3711894153978,1409.7160008781568,National,China
2012-01-01,70872700,1117.2318950641848,964.6009261349092,1290.9121283074783,722.0354160589023,National,China
2013-01-01,91483900,898.6183805697432,743.1074420650535,1083.903553010728,658.6703461361276,National,China
2014-01-01,109901700,853.4741460047834,751.2697550048265,968.8583759201821,624.2912933147696,National,China
2015-01-01,131246500,742.0632860163746,656.2000638616983,837.8042362493707,580.066507732002,National,China
2016-01-01,169735700,580.5643608130251,511.33290107652283,657.7442128596847,487.8714957027314,National,China
2017-01-01,222655700,487.94762941610395,439.85422357892725,540.6897247925385,449.4695629089042,National,China
2018-01-01,266655700,458.8993913806155,421.26491069563696,499.6080746000671,306.34869474118113,National,China
2019-01-01,291655700,417.4065723769221,383.983369150227,453.50135076959674,256.4493324863248,National,China
2020-01-01,331655700,388.4617784500303,357.14606755875747,421.9939721110896,230.20327988376587,National,China
2006-01-01,6083000,2554.157354148326,2290.463007937251,2849.507780418877,2632.0296705509604,Global,Germany
2007-01-01,8642000,2399.9117377227694,2183.790814163614,2634.7417064942865,2281.5873653984213,Global,Germany
2008-01-01,14580000,1954.7543710025298,1730.8256999314,2207.592592136435,2035.4349986027464,Global,Germany
2009-01-01,22432000,1415.6338405191962,1328.6230198761857,1508.2107668820197,1391.1979221690451,Global,Germany
2010-01-01,38793000,1059.3141126886026,999.0015294607972,1123.0032223272028,1246.7483343508613,Global,Germany
2011-01-01,73745000,832.2942125170067,787.3505404221198,879.635877051149,752.4045796614877,Global,Germany
2012-01-01,104015000,657.3094061322107,616.3166399529484,700.4582175262685,574.0841952890495,Global,Germany
2013-01-01,139523000,521.0599943677742,477.095775954039,568.9485689832076,510.4885665175802,Global,Germany
2014-01-01,176089000,510.3946495439049,482.5380873065372,540.0058540746031,474.62875773462105,Global,Germany
2015-01-01,222213000,554.931437451644,525.116096989561,587.1592132284713,557.4032716723159,Global,Germany
2016-01-01,296155000,483.0556330070093,454.8615516170348,513.3008414002866,537.8459175735085,Global,Germany
2017-01-01,389411000,431.29405001174257,406.0959820971008,458.21175296668724,463.0767727204072,Global,Germany
2018-01-01,488739000,390.2718087419049,364.02404736764623,417.38038800333356,381.824354842492,Global,Germany
2019-01-01,587134000,388.0351778820261,358.3832873529031,419.35182278959815,360.6319947333774,Global,Germany
2020-01-01,713970000,357.1379195256711,326.191578938663,390.1407638825093,384.57277812619515,Global,Germany
2006-01-01,6083000,2554.157354148326,2290.463007937251,2849.507780418877,2632.0296705509604,National,Germany
2007-01-01,8513200,2411.705924766159,2194.9042255332156,2646.885925447434,2281.5873653984213,National,Germany
2008-01-01,13653600,1997.1013277987076,1774.5661513733878,2249.726004946172,2035.4349986027464,National,Germany
2009-01-01,20483200,1458.266686245707,1367.2492950372462,1555.2753333159155,1391.1979221690451,National,Germany
2010-01-01,33095000,1115.7029158000335,1042.6561517340444,1192.4286316594205,1246.7483343508613,National,Germany
2011-01-01,54753000,917.271931740058,873.875808223286,963.1562360046299,752.4045796614877,National,Germany
2012-01-01,71757600,742.0048303981348,680.3527146679611,809.0808856132016,574.0841952890495,National,Germany
2013-01-01,84253100,614.3349892832208,544.0927003014489,694.7291251292223,510.4885665175802,National,Germany
2014-01-01,92518300,629.7342119449803,575.7620721237641,688.9728521609139,474.62875773462105,National,Germany
2015-01-01,98322300,724.1853114546946,658.3681473958113,796.9297225819264,557.4032716723159,National,Germany
2016-01-01,99777300,689.0524921054302,613.8321230340796,773.6366962709412,537.8459175735085,National,Germany
2017-01-01,101391300,669.2181918760168,596.0150070503216,751.8270252566499,463.0767727204072,National,Germany
2018-01-01,104256300,646.2840555471388,581.6947410886601,718.5118552905593,381.824354842492,National,Germany
2019-01-01,108145300,674.1269955735681,608.1471399793418,747.8192441196056,360.6319947333774,National,Germany
2020-01-01,112881300,652.1704584231934,589.8928354906594,721.2875129881919,384.57277812619515,National,Germany
