year,annCapKw_nation,cumCapKw_world,annCapKw_world,annCapKw_other,price_si,costPerKw,q,q_i,p,median_p,lambda,label,country,date
2018,2865000,488739000,99328000,96463000,15.4,451.2,312.5802,48342000,0.15465470941537565,0.4,0.4,"λ = 0.4, p = 40%",Germany,2018-07-01
2019,3889000,587134000,98395000,94506000,15.4,403.7,373.1728,52231000,0.13996464908482076,0.4,0.4,"λ = 0.4, p = 40%",Germany,2019-07-01
2020,4736000,713970000,126836000,122100000,15.4,438.81,451.1688,56967000,0.126265380052876,0.4,0.4,"λ = 0.4, p = 40%",Germany,2020-07-01
2006,0,6083000,0,0,170.7762985,3306.6,6.083,6083000,1,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2006-07-01
2007,1271000,8642000,2559000,1288000,331.1436197,3128.2,7.8692,7354000,0.9345295582778427,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2007-07-01
2008,1950000,14580000,5938000,3988000,394.5925319,2997.3,11.4144,9304000,0.8151107373142696,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2008-07-01
2009,4444000,22432000,7852000,3408000,128.2697107,1938.7,17.2216,13748000,0.798299809541506,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2009-07-01
2010,6988000,38793000,16361000,9373000,59.89196204,1653.3,27.9588,20736000,0.7416627323061076,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2010-07-01
2011,8364000,73745000,34952000,26588000,65.17702399,1048.2,46.958,29100000,0.6197027130627369,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2011-07-01
2012,8161000,104015000,30270000,22109000,24.80937396,738.2,63.9626,37261000,0.5825435488863805,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2012-07-01
2013,2633000,139523000,35508000,32875000,15.15264945,678,79.7456,39894000,0.5002658453883349,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2013-07-01
2014,1190000,176089000,36566000,35376000,19.8,631.1,95.08599999999998,41084000,0.43207201901436604,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2014-07-01
2015,1324000,222213000,46124000,44800000,17.89856631,618.5,114.32999999999998,42408000,0.3709262660718972,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2015-07-01
2016,1455000,296155000,73942000,72487000,14.31784946,595.5,144.77979999999997,43863000,0.30296353496827605,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2016-07-01
2017,1614000,389411000,93256000,91642000,14.08,523.3,183.05059999999997,45477000,0.24843950252006827,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2017-07-01
2018,2865000,488739000,99328000,96463000,15.4,451.2,224.50079999999997,48342000,0.21533108122554578,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2018-07-01
2019,3889000,587134000,98395000,94506000,15.4,403.7,266.19219999999996,52231000,0.19621536619029412,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2019-07-01
2020,4736000,713970000,126836000,122100000,15.4,438.81,319.7681999999999,56967000,0.1781509230749024,0.5,0.6000000000000001,"λ = 0.6, p = 50%",Germany,2020-07-01
2006,0,6083000,0,0,170.7762985,3306.6,6.083,6083000,1,0.67,0.8,"λ = 0.8, p = 67%",Germany,2006-07-01
2007,1271000,8642000,2559000,1288000,331.1436197,3128.2,7.6116,7354000,0.966156918387724,0.67,0.8,"λ = 0.8, p = 67%",Germany,2007-07-01
2008,1950000,14580000,5938000,3988000,394.5925319,2997.3,10.3592,9304000,0.8981388524210364,0.67,0.8,"λ = 0.8, p = 67%",Germany,2008-07-01
2009,4444000,22432000,7852000,3408000,128.2697107,1938.7,15.4848,13748000,0.8878383963628849,0.67,0.8,"λ = 0.8, p = 67%",Germany,2009-07-01
2010,6988000,38793000,16361000,9373000,59.89196204,1653.3,24.3474,20736000,0.8516720471179674,0.67,0.8,"λ = 0.8, p = 67%",Germany,2010-07-01
2011,8364000,73745000,34952000,26588000,65.17702399,1048.2,38.029,29100000,0.7652055010649768,0.67,0.8,"λ = 0.8, p = 67%",Germany,2011-07-01
2012,8161000,104015000,30270000,22109000,24.80937396,738.2,50.6118,37261000,0.736211713473933,0.67,0.8,"λ = 0.8, p = 67%",Germany,2012-07-01
2013,2633000,139523000,35508000,32875000,15.15264945,678,59.8198,39894000,0.6669029318051882,0.67,0.8,"λ = 0.8, p = 67%",Germany,2013-07-01
2014,1190000,176089000,36566000,35376000,19.8,631.1,68.085,41084000,0.6034221928471764,0.67,0.8,"λ = 0.8, p = 67%",Germany,2014-07-01
2015,1324000,222213000,46124000,44800000,17.89856631,618.5,78.369,42408000,0.5411323354897982,0.67,0.8,"λ = 0.8, p = 67%",Germany,2015-07-01
2016,1455000,296155000,73942000,72487000,14.31784946,595.5,94.32139999999998,43863000,0.4650376266679673,0.67,0.8,"λ = 0.8, p = 67%",Germany,2016-07-01
2017,1614000,389411000,93256000,91642000,14.08,523.3,114.26379999999999,45477000,0.3980000665127539,0.67,0.8,"λ = 0.8, p = 67%",Germany,2017-07-01
2018,2865000,488739000,99328000,96463000,15.4,451.2,136.4214,48342000,0.35435789399610323,0.67,0.8,"λ = 0.8, p = 67%",Germany,2018-07-01
2019,3889000,587134000,98395000,94506000,15.4,403.7,159.21159999999998,52231000,0.3280602669654724,0.67,0.8,"λ = 0.8, p = 67%",Germany,2019-07-01
2020,4736000,713970000,126836000,122100000,15.4,438.81,188.36759999999998,56967000,0.302424620794659,0.67,0.8,"λ = 0.8, p = 67%",Germany,2020-07-01
2006,0,6083000,0,0,170.7762985,3306.6,6.083,6083000,1,1,1,"λ = 1, p = 100%",Germany,2006-07-01
2007,1271000,8642000,2559000,1288000,331.1436197,3128.2,7.354,7354000,1,1,1,"λ = 1, p = 100%",Germany,2007-07-01
2008,1950000,14580000,5938000,3988000,394.5925319,2997.3,9.304,9304000,1,1,1,"λ = 1, p = 100%",Germany,2008-07-01
2009,4444000,22432000,7852000,3408000,128.2697107,1938.7,13.748,13748000,1,1,1,"λ = 1, p = 100%",Germany,2009-07-01
2010,6988000,38793000,16361000,9373000,59.89196204,1653.3,20.736,20736000,1,1,1,"λ = 1, p = 100%",Germany,2010-07-01
2011,8364000,73745000,34952000,26588000,65.17702399,1048.2,29.1,29100000,1,1,1,"λ = 1, p = 100%",Germany,2011-07-01
2012,8161000,104015000,30270000,22109000,24.80937396,738.2,37.261,37261000,1,1,1,"λ = 1, p = 100%",Germany,2012-07-01
2013,2633000,139523000,35508000,32875000,15.15264945,678,39.894,39894000,1,1,1,"λ = 1, p = 100%",Germany,2013-07-01
2014,1190000,176089000,36566000,35376000,19.8,631.1,41.084,41084000,1,1,1,"λ = 1, p = 100%",Germany,2014-07-01
2015,1324000,222213000,46124000,44800000,17.89856631,618.5,42.408,42408000,1,1,1,"λ = 1, p = 100%",Germany,2015-07-01
2016,1455000,296155000,73942000,72487000,14.31784946,595.5,43.863,43863000,1,1,1,"λ = 1, p = 100%",Germany,2016-07-01
2017,1614000,389411000,93256000,91642000,14.08,523.3,45.477,45477000,1,1,1,"λ = 1, p = 100%",Germany,2017-07-01
2018,2865000,488739000,99328000,96463000,15.4,451.2,48.342,48342000,1,1,1,"λ = 1, p = 100%",Germany,2018-07-01
2019,3889000,587134000,98395000,94506000,15.4,403.7,52.231,52231000,1,1,1,"λ = 1, p = 100%",Germany,2019-07-01
2020,4736000,713970000,126836000,122100000,15.4,438.81,56.967,56967000,1,1,1,"λ = 1, p = 100%",Germany,2020-07-01
