x,Curve1
2000.0043,4.1599
2001.0032,3.8838
2001.967,3.9662
2002.9805,3.7554
2003.9773,3.9897
2004.9734,4.5098
2005.9683,4.4285
2006.9526,4.5976
2007.9435,4.4018
2008.9661,2.5674
2009.9665,2.1393
