x,Curve1
2010.0308,2.14034
2011.027,1.58055
2012.0183,0.8511
2013.0167,0.90361
2014.0363,0.77949
2015.0163,0.79239
2015.9845,0.57033
2016.9428,0.48171
2017.9618,0.42917
2018.9417,0.36988
2019.8729,0.33756
